"OGU","domain","phylum","class","order","family","genus","species","UNITN","UHGG","PATH","WIS","cov_All"
"G000027085","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter_rodentium",FALSE,FALSE,TRUE,FALSE,0.0855847987534951
"G000027145","Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria_seeligeri",FALSE,FALSE,TRUE,FALSE,0.00828092003391435
"G000046705","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bartonellaceae","Bartonella","Bartonella_henselae",FALSE,FALSE,TRUE,FALSE,0.0219891074634641
"G000046845","Bacteria","Proteobacteria","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter_baylyi",FALSE,FALSE,TRUE,FALSE,0.0355844641600213
"G000054005","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Brucellaceae","Brucella","Brucella_abortus",FALSE,FALSE,TRUE,FALSE,0.0173088285579809
"G000056065","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_delbrueckii",TRUE,TRUE,TRUE,TRUE,0.413693205032928
"G000060285","Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria_welshimeri",FALSE,FALSE,TRUE,FALSE,0.0082654319452193
"G000063585","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_botulinum",FALSE,FALSE,TRUE,FALSE,0.00819746469635793
"G000067205","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella_petrii",FALSE,FALSE,TRUE,FALSE,0.0763004566987207
"G000069945","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium_urealyticum",FALSE,FALSE,TRUE,FALSE,0.140252125278415
"G000069965","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Proteus","Proteus_mirabilis",TRUE,TRUE,TRUE,FALSE,0.152577065622092
"G000070465","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella_avium",FALSE,FALSE,TRUE,FALSE,0.0130417133877508
