domain,phylum,class-order,family,species,reference
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella albensis,"(Finegold et al., 1974; Avgustin et al., 1997)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella amniotica,"(Walker et al., 2011)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella bivia,"(Benno et al., 1989)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella brevis,"(Holdeman et al., 1976; Avgustin et al., 1997)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella buccae,"(McLaughlin et al., 2010)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella bryantii,"(Li et al., 2012)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella conceptionensis,"(Lagier et al., 2012)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella copri,"(Hayashi et al., 2007)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella corporis,"(Walker et al., 2011)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella denticola,"(Bik et al., 2006)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella disiens,"(Ramotar et al., 1984)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella enoeca,"(Woodmansey et al., 2004)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella intermedia,"(Finegold et al., 1974; Shah & Collins, 1990)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella loescheii,"(Woodmansey et al., 2004)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella melaninogenica,"(Shah & Collins, 1990; Mitsuoka, 1992)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella nanceiensis,"(Lagier et al., 2012)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella nigrescens,"(Macfarlane et al., 2004)"
Bacteria,Bacteroidetes,Bacteroidales,Prevotellaceae,Prevotella oulora,"(Bik et al., 2006)"
