fastq_fn	fastq_prep_ID	HG38	T2T_pese	Pangenome_pese	Transcript_pese
TCGA-09-2053-01C-01R-1568-13_GRCh37-lite_rnaseq.	117451	40892	21206	16892	16506
TCGA-09-2053-01C-01R-1568-13_rnaseq.	117451	109712	55960	44386	43302
TCGA-09-2054-01A-01R-1568-13_GRCh37-lite_rnaseq.	117421	119624	59152	32776	31836
TCGA-09-2054-01A-01R-1568-13_rnaseq.	117421	119918	59380	32812	31860
TCGA-09-2056-01B-01R-1568-13_GRCh37-lite_rnaseq.	117455	357166	171642	155518	153638
TCGA-09-2056-01B-01R-1568-13_rnaseq.	117455	359470	173816	155534	153654
TCGA-10-0926-01A-01R-1564-13_GRCh37-lite_rnaseq.	117459	305380	240248	206926	204006
TCGA-10-0926-01A-01R-1564-13_rnaseq.	117459	309470	244190	206960	204028
TCGA-10-0927-01A-02R-1564-13_GRCh37-lite_rnaseq.	117421	4285424	693330	488282	483354
TCGA-10-0927-01A-02R-1564-13_rnaseq.	117422	1776926	284792	193130	190932
TCGA-10-0928-01A-02R-1564-13_GRCh37-lite_rnaseq.	117438	769146	24144	21554	21378
TCGA-10-0928-01A-02R-1564-13_rnaseq.	117438	1171972	38770	34678	34418
TCGA-10-0931-01A-01R-1564-13_GRCh37-lite_rnaseq.	117458	361752	31860	29476	29152
TCGA-10-0931-01A-01R-1564-13_rnaseq.	117458	901430	92734	85834	84656
TCGA-10-0933-01A-01R-1569-13_GRCh37-lite_rnaseq.	117454	194544	174924	157124	143440
TCGA-10-0933-01A-01R-1569-13_rnaseq.	117454	108846	97420	87502	80040
TCGA-10-0934-01A-02R-1564-13_GRCh37-lite_rnaseq.	117458	1249688	348338	199408	189790
TCGA-10-0934-01A-02R-1564-13_rnaseq.	117458	372582	133612	59080	56306
TCGA-10-0936-01A-01R-1564-13_GRCh37-lite_rnaseq.	117458	2980380	1841238	831428	816470
TCGA-10-0936-01A-01R-1564-13_rnaseq.	117458	3090626	1946770	833508	818498
TCGA-10-0937-01A-02R-1564-13_GRCh37-lite_rnaseq.	117420	9275534	809024	604960	600642
TCGA-10-0937-01A-02R-1564-13_rnaseq.	117421	6329254	491252	381956	379702
TCGA-10-0938-01A-02R-1564-13_GRCh37-lite_rnaseq.	117434	171236	103858	94032	92860
TCGA-10-0938-01A-02R-1564-13_rnaseq.	117434	13958	8210	7730	7662
TCGA-13-0714-01A-01R-1564-13_GRCh37-lite_rnaseq.	117449	600340	442226	145892	144428
TCGA-13-0714-01A-01R-1564-13_rnaseq.	117449	1480106	800926	235536	232650
TCGA-13-0720-01A-01R-1564-13_GRCh37-lite_rnaseq.	117442	640652	80892	65386	64718
TCGA-13-0720-01A-01R-1564-13_rnaseq.	117443	641024	81112	65394	64722
TCGA-13-0724-01A-01R-1564-13_GRCh37-lite_rnaseq.	117445	2480772	718456	460410	455236
