fastq_fn	fastq_prep_ID	HG38	T2T_pese	Pangenome_pese
TCGA-E1-5305-01A-01D-1891_130919_SN590_0238_AC29TRACXX_s_3_rg.sorted.filtered	115207	261238	23468	2418
TCGA-E1-5307-01A-01D-1891_130919_SN590_0238_AC29TRACXX_s_4_rg.sorted.filtered	115207	352518	36012	8032
TCGA-EE-A29N-06A-12D-A18Y_120729_SN1120_0180_BC1176ACXX_s_5_rg.sorted.filtered	115207	1970718	1335170	1070190
TCGA-EE-A2MQ-06A-11D-A18Y_120718_SN1222_0126_AC117AACXX_s_4_rg.sorted.filtered	115207	1119596	711004	577404
TCGA-EE-A2MQ-10A-01D-A190_120718_SN1222_0126_AC117AACXX_s_8_rg.sorted.filtered	115207	1350864	748828	607992
TCGA-EE-A2MT-06A-11D-A18Y_120718_SN1222_0126_AC117AACXX_s_2_rg.sorted.filtered	115207	1333304	763126	596806
TCGA-EE-A2MT-10A-01D-A190_120718_SN1222_0126_AC117AACXX_s_6_rg.sorted.filtered	115207	1402410	930668	712772
TCGA-EM-A1YD-11A-11D-A14U_120629_SN1120_0168_BD1454ACXX_s_7_rg.sorted.filtered	115207	1708330	856834	708084
TCGA-ER-A197-06A-32D-A18Y_120729_SN1120_0179_AC11G3ACXX_s_2_rg.sorted.filtered	115207	1133740	761144	651104
TCGA-ER-A199-06A-11D-A18Y_120729_SN1120_0179_AC11G3ACXX_s_1_rg.sorted.filtered	115207	1068472	693138	547858
TCGA-ER-A2NC-06A-11D-A18Y_120718_SN208_0415_AC116EACXX_s_2_rg.sorted.filtered	115207	1518628	990522	825392
TCGA-FD-A3N5-10A-01D-A21C_120830_SN590_0177_BD141PACXX_s_6_rg.sorted.filtered	115207	1344490	780768	631230
